cycle_id,axis,cycle_start,cycle_end,Peak_Torque_pct_of_rated,related_error_code,peak_torque_pct
1,1,2025-11-17 09:00:00+00:00,2025-11-17 09:00:44+00:00,110.8,,
1,2,2025-11-17 09:00:00+00:00,2025-11-17 09:00:44+00:00,55.34,,
1,3,2025-11-17 09:00:00+00:00,2025-11-17 09:00:44+00:00,76.78,,
1,4,2025-11-17 09:00:00+00:00,2025-11-17 09:00:44+00:00,56.77,,
1,5,2025-11-17 09:00:00+00:00,2025-11-17 09:00:44+00:00,77.29,,
1,6,2025-11-17 09:00:00+00:00,2025-11-17 09:00:44+00:00,61.99,,
2,1,2025-11-17 09:01:02+00:00,2025-11-17 09:01:33+00:00,47.85,,
2,2,2025-11-17 09:01:02+00:00,2025-11-17 09:01:33+00:00,64.93,,
2,3,2025-11-17 09:01:02+00:00,2025-11-17 09:01:33+00:00,57.5,,
2,4,2025-11-17 09:01:02+00:00,2025-11-17 09:01:33+00:00,61.32,,
2,5,2025-11-17 09:01:02+00:00,2025-11-17 09:01:33+00:00,70.11,,
2,6,2025-11-17 09:01:02+00:00,2025-11-17 09:01:33+00:00,61.64,,
3,1,2025-11-17 09:01:39+00:00,2025-11-17 09:02:40+00:00,34.76,,
3,2,2025-11-17 09:01:39+00:00,2025-11-17 09:02:40+00:00,62.14,,
3,3,2025-11-17 09:01:39+00:00,2025-11-17 09:02:40+00:00,55.78,,
3,4,2025-11-17 09:01:39+00:00,2025-11-17 09:02:40+00:00,72.06,,
3,5,2025-11-17 09:01:39+00:00,2025-11-17 09:02:40+00:00,81.18,,
3,6,2025-11-17 09:01:39+00:00,2025-11-17 09:02:40+00:00,86.99,,
4,1,2025-11-17 09:02:57+00:00,2025-11-17 09:04:02+00:00,33.79,,
4,2,2025-11-17 09:02:57+00:00,2025-11-17 09:04:02+00:00,48.02,,
4,3,2025-11-17 09:02:57+00:00,2025-11-17 09:04:02+00:00,65.38,,
4,4,2025-11-17 09:02:57+00:00,2025-11-17 09:04:02+00:00,111.0,SRVO-050,
4,5,2025-11-17 09:02:57+00:00,2025-11-17 09:04:02+00:00,85.39,,
