Timestamp,Temperature_C,Vibration_g,Axis1_deg,Axis2_deg,Axis3_deg
2025-11-17 09:00:15,27.0,0.042,37.9,,1.1
2025-11-17 09:00:20,30.2,,,16.0,
2025-11-17 09:00:35,34.8,0.038,,34.4,0.6
2025-11-17 09:00:50,32.1,,,4.8,
2025-11-17 09:01:00,30.4,0.24,68.0,,-6.3
2025-11-17 09:01:40,,0.272,81.1,,
2025-11-17 09:01:45,26.6,,107.3,,2.4
2025-11-17 09:01:55,40.6,0.014,95.9,8.4,-6.8
2025-11-17 09:02:10,,0.115,,38.8,-1.6
2025-11-17 09:02:20,,,109.4,40.5,
2025-11-17 09:02:50,39.0,0.127,42.7,,-5.3
2025-11-17 09:03:10,37.6,,,,
2025-11-17 09:03:25,,0.197,,,
2025-11-17 09:03:40,,0.149,13.1,,4.9
2025-11-17 09:03:55,,0.237,,,
2025-11-17 09:04:10,,,,33.6,5.2
2025-11-17 09:04:25,38.0,,60.3,7.5,
2025-11-17 09:04:30,,0.046,,,
2025-11-17 09:04:45,41.1,0.159,88.2,,
2025-11-17 09:04:55,,,71.1,7.3,
2025-11-17 09:05:05,,0.148,0.9,,
2025-11-17 09:05:25,37.0,,26.8,,
2025-11-17 09:05:45,,0.172,,38.8,
2025-11-17 09:06:25,,0.173,50.4,36.4,-1.9
2025-11-17 09:06:35,,,59.4,27.8,
2025-11-17 09:06:40,43.9,0.14,,1.5,-5.6
2025-11-17 09:07:20,,,,,7.8
2025-11-17 09:07:30,,,,29.1,-3.1
2025-11-17 09:07:40,,0.256,,6.5,
2025-11-17 09:08:00,40.8,,17.1,,-9.0
2025-11-17 09:08:20,,,,41.1,-4.5
2025-11-17 09:08:40,,0.213,4.9,,12.8
2025-11-17 09:09:20,,0.27,110.2,,
2025-11-17 09:09:30,,0.07,,39.1,1.0
2025-11-17 09:09:40,,,46.2,,
2025-11-17 09:09:55,,,,,
2025-11-17 09:10:35,,,39.1,,
2025-11-17 09:11:05,,,,21.0,
2025-11-17 09:11:15,25.1,,115.5,,10.7
2025-11-17 09:11:20,,,,,
2025-11-17 09:11:50,,0.039,,,9.5
2025-11-17 09:12:00,36.9,0.294,,35.2,
2025-11-17 09:12:40,,0.242,53.1,20.1,-7.5
2025-11-17 09:12:50,37.5,,88.0,19.1,-8.3
2025-11-17 09:12:55,,0.176,,,4.3
2025-11-17 09:13:05,31.0,0.254,,,11.3
2025-11-17 09:13:20,40.9,,,,7.1
2025-11-17 09:13:50,,,,10.5,0.0
2025-11-17 09:14:00,,,60.7,,
2025-11-17 09:14:05,,0.093,,19.4,
